ID,Name,Type,Keywords,Range,Description,Requirements,Combined Costs,Mana Cost,AP Cost,RP Cost,Other Costs,Benefits,Associated Abilities,Parent Ability,Subdivision Index,Gathering Cost,Gathering Bonus
aerial_loop,Aerial Loop,true_ability,,Self or Mount,You and your mount take the Dodge action and gain a +5 bonus to evasion against the attack.,You are mounted on a flying mount and you or your mount are the target of a ranged attack,MP: 1 RP: 1,1,,1,,,,,,,
aftershock,Aftershock,true_ability,,Melee Weapon Range,"You attack with such force that you create aftershocks when you miss your attack, dealing True Damage to all enemies within 5ft of the missed target. This True Damage equals twice the AP spent on the attack. If your attack targets multiple enemies, this only applies if you miss all enemies.",You missed an attack with a Two-Handed Melee Weapon.,RP: 0,,,0,,,,,,,
aftershocks,Aftershocks,key_ability,,,,,RP: 0,,,0,,You may use Aftershock.,Aftershock (aftershock),,,,
aimed_shot,Aimed Shot,true_ability,Lock On,Ranged Weapon Range,You make a Heavy Attack against the target.,,AP: 2 MP: 2,2,2,,,,,,,,
air_stability,Air Stability,key_ability,,,,,,,,,,The cavalier’s Rider & Mount As One ability applies even while flying. Any damage you take while flying on a flying mount will cause you to lose altitude as if your mount took damage.,,,,,
alarm_ward,Alarm Ward,true_ability,"Bounded Field, Spell",Touch,"A ward that can be placed on a normal-sized room or can be combined to ward off a house or larger area. Each ward can cover a 40ft radius. For each Alarm Ward placed in the same area as another Alarm Ward, this radius increases by 40ft (For example, 120ft with 3 Alarm Wards). If someone other than you passes through the ward, the ward triggers creating a loud ringing noise that persists until the ward is disabled. Casting this takes 10 minutes of uninterrupted casting. Once triggered, the field remains active for 5 more minutes before vanishing. At the time of casting, you may choose people that can pass through the barrier without triggering it. If not triggered, Alarm Ward lasts until you remove it. For each Alarm Ward you maintain, your maximum mana is reduced by 1. This is considered a tier 1 ward.",,MP: 1,1,,,,,,,,,
alchemeister_core_crafting_distillation,Distillation,crafting_ability,,,"You extract the highest quality healing materials from herbs, granting Healing +8 to a Potion with a heal effect.",,,,,,,,,alchemeister_core_crafting,2,,
alchemeister_core_crafting_explosive_lining,Explosive Lining,crafting_ability,,,"You carefully add an alchemical compound to a pressurized Flask. If the Flask has an area of effect, increases the area by another 5ft (example a 10ft radius becomes 15ft radius).",,,,,,,,,alchemeister_core_crafting,3,,
alchemeister_core_crafting_masterful_dilution,Masterful Dilution,crafting_ability,,,"By diluting the contents to the perfect required amounts, you gain an additional Elixir, Potion, Flask or Salve upon crafting success. Stacks with Efficient Dilution.",,,,,,,,,alchemeister_core_crafting,1,,
alchemeister_core_crafting_purify_elixir,Purify Elixir,crafting_ability,,,"You reduce the toxicity of an Elixir that has been detoxified while still maintaining its effect, reducing the damage from taking an Elixir by an additional 5.",,,,,,,,,alchemeister_core_crafting,4,,
alchemical_detonation,Alchemical Detonation,true_ability,Rapid,5ft,"You touch a wall, door or container in front of you, which shatters from deconstructive force, becoming destroyed.  Can destroy up to a 5ftx5ft segment of wall.  Only affects objects made out of common building materials (wood, clay, stone, iron etc), however it affects all walls made out of player abilities.  The GM determines if the object is detonateable.  You can then take a movement action to move 5ft into the space where the wall was.",,AP: 1,,1,,,,,,,,
alchemist_core_crafting_create_oil_coating,Create Oil Coating,crafting_ability,,,You create an Oil Coating from Carpenter materials. See Items: Carpenter Materials,,,,,,,,,alchemist_core_crafting,6,,
alchemist_core_crafting_detoxify_elixir,Detoxify Elixir,crafting_ability,,,"You reduce the toxicity of an Elixir while still maintaining its effect, reducing the damage from taking an Elixir by 3.",,,,,,,,,alchemist_core_crafting,5,,
alchemist_core_crafting_efficient_dilution,Efficient Dilution,crafting_ability,,,"By diluting the contents to the perfect required amounts, you gain an additional Elixir, Potion, Flask or Salve upon crafting success.",,,,,,,,,alchemist_core_crafting,1,,
alchemist_core_crafting_pressurization,Pressurization,crafting_ability,,,"You pressurize a Flask carefully. If the Flask has an area of effect, increases the area by 5ft (example a 10ft radius becomes 15ft radius).",,,,,,,,,alchemist_core_crafting,3,,
alchemist_core_crafting_stone_grinding,Stone Grinding,crafting_ability,,,"You extract the highest quality healing materials from herbs, granting Healing +5 to a Potion with a heal effect.",,,,,,,,,alchemist_core_crafting,2,,
alchemist_core_crafting_volatile_flask,Volatile Flask,crafting_ability,,,"You overload the active ingredients on a Flask, giving it a +5 damage to its damaging effects.",,,,,,,,,alchemist_core_crafting,4,,
ambush_trapper,Ambush Trapper,true_ability,Encounter Start,Self,"You may use Place Trap’s 0 RP effect once this encounter, even if you didn’t spend the time to set it up. The GM may rule that the pitfall and net options are unavailable based on the situation.

These activations still cost a Trap when used (but not if you don't use them).",Must be stealthed or have surprised the enemy.,,,,,,,,,,,
amoxicillin,Amoxicillin,true_ability,"Concentration, Healing, Spell",30ft,"You choose up to 10 willing units in range.  After spending 1 minute in concentration, you create a cloud of spores that heals a disease that you can identify.",You can identify the disease.,,,,,,,,,,,
amphibious,Amphibious,true_ability,,,You can swim up to your speed and can hold your breath underwater for up to an hour.,,,,,,,,,,,,
anathema,Anathema,true_ability,"Curse, Spell",60ft,You choose one target unit and they must save against your Potency or be afflicted byAnathema.Anathemaincreases the next source of damage that the target receives by your Heavy Attack damage.,,AP: 2 MP: 2,2,2,,,,,,,,
angelic_presence,Angelic Presence,key_ability,,,,,,,,,,You gain +1 to Presence.,,,,,
angels_embrace,Angel's Embrace,true_ability,"Shield, Spell, Aid",15ft,"You grant the target allyAngel’s Embrace, which grants a Shield against the triggering attack that blocks damage equal to 5 + (2 x Toughness). This Spell does not provoke attacks of opportunity.",A creature other than you is attacked.,RP: 1,,,1,,,,,,,
antennae,Antennae,true_ability,,,"You are able to detect creatures by sensing the vibrations in the air. You gain a +10 expertise bonus to Perception (Vibration Sense) which works up to 40ft from you, but only detects creatures.",,,,,,,,,,,,
anti_magic_shield,Anti-Magic Shield,true_ability,"Aid, Arcane, Shield, Spell",60ft,You grant the target ally 1 RP that must be spend on a basic Dodge or Block action against the triggering attack as well asAnti-Magic Shieldfor the triggering attack.Anti-Magic Shieldreduces the damage the target ally takes by your Power.,Ally is the target of a damage dealing Spell.,RP: 1,,,1,,,,,,,
anti_shield,Anti-Shield,true_ability,"Arcane, Spell",60ft,You weave a web of magic around the target. The target cannot be the target of any abilities with the Shield keyword until the start of your next turn.,,AP: 1,,1,,,,,,,,
anvil_tactics,Anvil Tactics,true_ability,,80ft,"A single ally in range may move up to their speed. If they end up in melee range of an enemy and there is an ally on the direct opposite side of that enemy, they may make an Attack of Opportunity. This attack gains Lock On.",,AP: 1 MP: 1,1,1,,,,,,,,
aqua_drill,Aqua Drill,true_ability,,60ft,"You infuse water with your mana firing a spiraling blast of high pressure water, making a heavy attack that deals physical piercing against a target within range. You can use either the RP or AP cost for the ability.  The water is used as a projectile and spills anywhere within 5ft of the target at your choice.

If you use an RP for this ability, the mana cost increases by 1.",You are touching an amount of water equal to a normal sized bucket of water.,AP: 2 RP: 1,,2,1,,,,,,,
aquatic_fae,Aquatic Fae,true_ability,,,"While swimming, your base movement speed becomes 30, in addition you gain Elemental Mastery: Water.

Your Aqua Drill costs 0 mana when used as RP ability.",,,,,,,,,,,,
arcane_barrier,Arcane Barrier,true_ability,"Shield, Spell",Self,"You create a Magical Barrier that absorbs damage until it breaks. The barrier has HP equal to 15 + your Focus. The barrier has a Guard of 0 and any damage it takes is subtracted from the barrier’s HP. When the barrier breaks, any remaining damage is subtracted from your HP. The barrier otherwise lasts until the start of your next turn or until you take any action other than the Block action.

This spell does not provoke attacks of opportunity.",,MP: 1 RP: 1,1,,1,,,,,,,
arcane_barrier_ii,Arcane Barrier II,true_ability,"Shield, Spell",Self,"You create a Magical Barrier that absorbs damage until it breaks. The barrier has HP equal to 15 + your Focus. The barrier has a Guard of 0 + your guard and any damage it takes is subtracted from the barrier’s HP. When the barrier breaks, any remaining damage is subtracted from your HP. The barrier otherwise lasts until the start of your next turn or until you take any action other than the Block action. If using the Block action while the barrier is active, the guard of the barrier also increases. This spell does not provoke attacks of opportunity.",,MP: 1 RP: 1,1,,1,,,,,,,
arcane_buster,Arcane Buster,true_ability,"Arcane, Spell, Shieldbreaker",60ft,"You fire a blast of energy, making a Heavy Attack that deals Arcane Damage. This attack has the Shieldbreaker property.",,AP: 2,,2,,,,,,,,
arcane_explosion,Arcane Explosion,true_ability,"Arcane, Rapid, Spell",Self,You make a Light Attack that deals Arcane damage against all enemies within 10ft of yourself. This Spell does not provoke attacks of opportunity.,,AP: 2,,2,,,,,,,,
arcane_power,Arcane Power,true_ability,Arcane,Self,You add 3 damage to the damage of all your Arcane Damage rolls until the start of your next turn.,,AP: 0 MP: 3,3,0,,,,,,,,
arcane_pull,Arcane Pull,true_ability,Spell,40ft,You pull the target to an empty square next to you. This movement does not provoke attacks of opportunity. Your next Block or Dodge action against the target before the start of your next turn costs 0 RP. This Spell does not provoke attacks of opportunity.,Target is challenged by you and attacking someone that isn't you.,RP: 1,,,1,,,,,,,
armor_up,Armor Up,true_ability,Shield,Self,"You gain temporary HP equal to the Block value of your armor and shield, up to a maximum of 40 temporary HP.",Must be wearing armor and/or a shield.,AP: 1 MP: 3,3,1,,,,,,,,
armorsmith_basics,Armorsmith Basics,key_ability,,,,,,,,,,"You gain proficiency in light armor, medium armor and shields., You gain proficiency in 1 basic melee weapon and can use a smith's hammer as a bludgeoning weapon in which you are proficient., You can craft armors, shields and cloaks using non-advanced materials and base materials., You gain Armorsmith Core Crafting abilities.",,,,,
armorsmith_basics_adaptive_layering,Adaptive Layering,crafting_ability,,,You mix a special material into the armor or shield. Each material has its own crafting point cost.,,,,,,,,,armorsmith_basics,4,,
armorsmith_basics_agile_layer,Agile Layer,crafting_ability,,,The armor or shield gains a +2 Dodge bonus.,,,,,,,,,armorsmith_basics,2,,
armorsmith_basics_cloak_layering,Cloak Layering,crafting_ability,,,You use a special material for the creation of the cloak. Each material has its own crafting point cost. Only cloak special materials can be used and mixing in a special material increases the burden cost of the cloak by 1.,,,,,,,,,armorsmith_basics,6,,
armorsmith_basics_create_ingot,Create Ingot,crafting_ability,,,You create an ingot from armorsmithing base materials or from armorsmithing special materials. See Item: Armorsmithing Materials.,,,,,,,,,armorsmith_basics,7,,
armorsmith_basics_hardened_layer,Hardened Layer,crafting_ability,,,The armor or shield gains a +2 Block bonus.,,,,,,,,,armorsmith_basics,1,,
armorsmith_basics_modify_armor,Modify Armor,crafting_ability,,,"You modify the armor and add one of the following options to it: Manaweave: A Manaweave armor reduces the Agility penalty by 1, but reduces the wearer's current and maximum mana by 3 when equipped. Cannot be equipped if it would reduce the mana below 0. Barrier: A Barrier Armor provides no passive guard bonus, but the Agility penalty it would have is reduced by 1. When taking the Block action, you still receive the normal bonus the armor would provide (+4 for light armor for example.) Fortress(Heavy only): Fortress armor reduces the Agility penalty by 1, but it also reduces the movement speed by 5ft. Protective Coating(Medium only): Protective Coating reduces the Agility penalty by 1, but only gives the passive guard increase. When taking the Block action, it does not gain an increased guard (though any other bonuses to your Block such as your Toughness still apply)",,,,,,,,,armorsmith_basics,3,,
armorsmith_basics_simplify_armor,Simplify Armor,crafting_ability,,,"You turn the light armor you’re crafting into regular clothing, removing all normal benefits and penalties of armor (including upgrades like Hardened Layer and Reinforced Guard) and allowing it to be worn by anyone. Clothing does not cost burden. May still contain stuff added through Adaptive Layering.",,,,,,,,,armorsmith_basics,5,,
armorsmith_basics_tan_leather,Tan Leather,crafting_ability,,,You create a tanned hide from armorsmithing base leather materials. See item: Armorsmithing materials.,,,,,,,,,armorsmith_basics,8,,
armorsmithing_expert,Armorsmithing Expert,key_ability,,,,,,,,,,You gain the Master Armorer's core crafting abilities,,,,,
armorsmithing_expert_reinforced_guard,Reinforced Guard,crafting_ability,,,The armor or shield with Hardened Layer or Protective Coating on it gains +1 guard.,,,,,,,,,armorsmithing_expert,1,,
armorsmithing_expert_second_layering,Second Layering,crafting_ability,,,You mix another special material into the armor or shield. Each material has its own crafting point cost. Stacks with Adaptive Layering.,,,,,,,,,armorsmithing_expert,3,,
armorsmithing_expert_tight_fitting,Tight Fitting,crafting_ability,,,The armor or shield with Agile Layer on it gains +1 Evasion.,,,,,,,,,armorsmithing_expert,2,,
arms_mastery,Arms Mastery,key_ability,,,,,,,,,,You are considered proficient with every melee weapon you wield (This does not count as being proficient for class requirements).,,,,,
artificer_basics,Artificer Basics,key_ability,,,,,,,,,,"You gain Artificer Core Crafting Abilities, You can craft using non-advanced materials and base materials., You can now craft Artifices and Firearms., You gain proficiency in the musket and the Artificer's Multitool.",,,,,
artificer_basics_advanced_melding,Advanced Melding,crafting_ability,,,"You expertly create the artifice hookup, reducing the artifice weight burden by 1 to a minimum of 0.5.",,,,,,,,,artificer_basics,1,,
artificer_basics_artifice_modification_a,Artifice Modification A,crafting_ability,,,You add an A-Type modification to an artifice. See the individual artifice to see if modifications are available.,,,,,,,,,artificer_basics,3,,
artificer_basics_attachdetach_artifice,Attach/Detach Artifice,crafting_ability,,,You spend some time connecting the artifice to a weapon with an open artifice slot.,,,,,,,,,artificer_basics,6,,
artificer_basics_barrel_length_optimization,Barrel Length Optimization,crafting_ability,,,"A firearm or artifice weapon gains +1 Power Artisan Bonus. Only works with actual weapons, not attachments.",,,,,,,,,artificer_basics,5,,
artificer_basics_craft_artifice_parts,Craft Artifice Parts,crafting_ability,,,"You create up to 3000u of artifice parts of the same type of blacksmithing material used to make them at a 1:1 rate. (3000u of Iron Creates 3000u of Iron Artifice Parts.) See Items: Blacksmithing Materials, Artificer Materials. When converting items of a higher tier, you can convert up to 6000 of tamahagane, 9000 of mithril, 12000 of Orihalcum or 15000 of escudo.",,,,,,,,,artificer_basics,8,,
artificer_basics_craft_fuel_shells,Craft Fuel Shells,crafting_ability,,,"You craft up to 5 small shells. You can instead craft a medium shell instead of 2 small shells. Small shells require 50 magical fuel, medium shells require 200 magical fuel.",,,,,,,,,artificer_basics,7,,
artificer_basics_double_barrel,Double Barrel,crafting_ability,,,Can hold up to 2 shells. You still reload 1 shell at a time.,,,,,,,,,artificer_basics,2,,
artificer_basics_firearm_alloy,Firearm Alloy,crafting_ability,,,You mix a special material into the firearm or artifice weapon. Each material has its own crafting point cost.,,,,,,,,,artificer_basics,9,,
artificer_basics_grip_design,Grip Design,crafting_ability,,,"A firearm or artifice weapon gains +1 Focus Artisan Bonus. Only works with actual weapons, not attachments.",,,,,,,,,artificer_basics,4,,
assign_decoy,Assign Decoy,true_ability,"Challenge, Quick",60ft,Choose one willing ally within range and one enemy within range. The enemy is Challenged by the chosen ally until the start of your next turn.,,AP: 0,,0,,,,,,,,
astral_projection,Astral Projection,true_ability,,Self,"After a 10 minute channel you arrive at the space between worlds, allowing you to interact with Eidolons that wish to meet with you.",,,,,,,,,,,,
at_your_side,At your side,true_ability,Teleport,40ft,You teleport next to your VIP.,,MP: 2 RP: 0,2,,0,,,,,,,
attack_in_detail,Attack in Detail,true_ability,,120ft,"You target one enemy unit. All allied units (including yourself) gain a +1 Damage Bonus when that enemy unit is the target of an attack until the start of your next turn. In addition, all allied units gain +5 Movement Speed when moving towards that enemy unit.",,AP: 2,,2,,,,,,,,
attacks_from_the_past,Attacks from the Past,true_ability,,Self,"For this turn, all weapon attacks you make are repeated from your Past Self location, striking in the same direction and distance as your normal attacks. While this ability is active, Past Self’s normal use is disabled. Any movement you make during this ability is reflected in your Past Self’s position. This ability cannot be used if your position is the same as your Past Self’s position. Can only be used as your first action of the turn.

These repeat attacks cannot hit the same target hit by your regular attack.",,AP: 0 MP: 1,1,0,,,,,,,,
attune_eidolon,Attune Eidolon,true_ability,Encounter Start,Self,"You attune to a specific Eidolon, paying the attunement cost (if applicable) and then activating its Passive (if applicable).  You gain its Channel Eidolon, Summon Lesser Eidolon and Secret Art: Summon Eidolon abilities provided that you have advanced enough in this class to get them.

You may use this as an Encounter Start ability without paying an AP cost.",You have an Eidolon you are contracted to.,AP: 2,,2,,,,,,,,
augmented_casting_increased_reach,Augmented Casting - Increased Reach,key_ability,,,,,MP: 1 RP: 0,1,,0,,You may use Increased Reach.,Increased Reach (increased_reach),,,,
augmented_casting_persistent_spell,Augmented Casting - Persistent Spell,key_ability,,,,,AP: 0 MP: 2,2,0,,,You may use Persistent Spell.,Persistent Spell (persistent_spell),,,,
aura_of_protection,Aura of Protection,true_ability,Aura,Self,"You create a 30ft radius Aura of Protection around yourself. While this aura is active, when an ally within 30ft of you takes the Block action you may spend 1 Mana to replace their Block Value with your own. In addition, any abilities with the Aid keyword have their range increased by 20ft while inside the Aura.",,AP: 0,,0,,,,,,,,
ave_maría,Ave María,true_ability,,Melee Weapon Range,"You attack with a swift double slash in the blink of an eye, making a Heavy Attack that deals Light damage + Heavy Holy damage.",,AP: 3,,3,,,,,,,,
backlash,Backlash,true_ability,"Sure Hit, Full Pierce",Melee Weapon Range,You make a Light attack against the target. You take true damage equal to half the damage dealt.,,AP: 1,,1,,,,,,,,
battle_cast,Battle Cast,true_ability,,,The next Spell you cast before the end of your turn does not provoke an attack of opportunity from being casted in Melee Range of an opponent.,,AP: 0 MP: 1,1,0,,,,,,,,
bear_trap,Bear Trap,true_ability,"Root, Full Pierce",5ft,"You place down a bear trap in an empty square within range. If an enemy enters that square, they trigger the trap taking Light full pierce damage and becoming rooted until they spend 2 AP to remove the effect.

Against beasts, this instead does Heavy damage of Light damage.

This ability consumes a Trap.",,AP: 1,,1,,,,,,,,
benevolence,Benevolence,key_ability,,,,,,,,,,"You gain Elemental Mastery: Holy, Your attacks do not consume Illumination on miss., You may choose not to use the effect of Illumination on a target.(Must be declared before an attack is made).",,,,,
bestial_command,Bestial Command,true_ability,,Sight,"The summon may take basic actions as if it had 2 AP to spend.

In addition, if your summon is under the effects of Independent Action, it gains Bestial Command until the end of the encounter, it dies or you cancel it for 0 AP. While Bestial Command lasts, its maximum AP and AP recovery are increased by 2 while your AP recovery is lowered by 2.",Can only target your summoned animal.,AP: 0 MP: 2,2,0,,,,,,,,
blackbird,Blackbird,true_ability,,5ft,"You deploy a Blackbird, a small artifice drone that outputs a grainy image to a device on your wrist.  The blackbird has a maximum range of 3000ft and can observe major movements and structures such as doors and enemies.  The drone cannot display fine movements or detail such as words in a book without being up close, but can see large signs.  The blackbird is the size of a walnut and is relatively quiet, and can only be heard by those with normal human hearing within 10 ft.The fuel shell lasts for one flight, up to 15 minutes.  If your Blackbird is lost or damaged, you must create a new one as an errand action before you can use this again.",,AP: 1 Other: 1 Small Shell,,1,,other: 1 Small Shell,,,,,,
blacksmith_core_crafting_blacksmiths_design,Blacksmith’s Design,crafting_ability,,,The smithing tool gains a +1 Crafting or Gathering Artisan Bonus.,,,,,,,,,blacksmith_core_crafting,1,,
blacksmith_core_crafting_create_ingot,Create Ingot,crafting_ability,,,You create an ingot from blacksmithing base materials or from blacksmithing special materials. See Item: Blacksmithing Materials.,,,,,,,,,blacksmith_core_crafting,5,,
blacksmith_core_crafting_sharpening_and_reinforcing,Sharpening and Reinforcing,crafting_ability,,,The smithing weapon gains a +1 Power Artisan Bonus.,,,,,,,,,blacksmith_core_crafting,2,,
blacksmith_core_crafting_weapon_alloy,Weapon Alloy,crafting_ability,,,You mix a special material into the smithing weapon. Each material has its own crafting point cost.,,,,,,,,,blacksmith_core_crafting,4,,
blacksmith_core_crafting_weight_balancing,Weight Balancing,crafting_ability,,,The smithing weapon gains a +1 Focus Artisan Bonus.,,,,,,,,,blacksmith_core_crafting,3,,
blast_away,Blast Away,true_ability,,5ft,You fire a point blank shot at an enemy unit. The enemy must save against your Potency or be knocked back 5ft and take Light Damage. This ability does not provoke attacks of opportunity.,,AP: 1,,1,,,,,,,,
blast_wave,Blast Wave,true_ability,"Fire, Spell",Self,"You may make a Light attack that deals Fire damage against every character within 10ft of you. On damage, they are pushed back 10ft. This spell does not provoke attacks of opportunity.",,AP: 2,,2,,,,,,,,
blinding_dust,Blinding Dust,true_ability,"Blind, Sidestep",5ft,"You flap your wings and blow dust in the eyes of the attacker, making them Blinded until the end of their attack. If their attack against you misses, you may Sidestep 5ft.",You are the target of an attack.,MP: 2 RP: 1,2,,1,,,,,,,
blood_drain,Blood Drain,true_ability,Healing,40ft,"You make a Light Attack against the target. On damage, you recover HP equal to your Toughness + 3.",Target must be a living creature. Target cannot be an ally.,AP: 1 MP: 1,1,1,,,,,,,,
blood_frenzy,Blood Frenzy,true_ability,,Self,"You go into a blood frenzy, mindlessly attacking enemies near you.

While the blood frenzy lasts, you must attack the nearest enemy target with a basic unarmed attack. If two targets are equally close, you may choose which one you attack. If no enemies are within range, you must use your movement to move closer to the closest visible enemy until you can attack them.

While under the effect of blood frenzy, you heal for half the damage you deal with your unarmed attacks.

You cannot use Vampire Bite while under the effect of Blood Frenzy.

This effect lasts until all visible enemies are dead or until your mana runs out. At the start of your turn, you lose 2 mana.",,AP: 0 MP: 2,2,0,,,,,,,,
blood_shield,Blood Shield,true_ability,"Aid, Healing, Shield",40ft,"You grant the target 1 RP that must be spent on the Block action against the triggering attack. They gain a +5 bonus to their Guard for this Block action. After the attack, the target regains HP equal to half the damage blocked (Blocked meaning the damage reduced through block, not necessarily your total block value).",Target is the target of an attack.,MP: 2 RP: 1,2,,1,,,,,,,
bloodbolt,Bloodbolt,true_ability,Overcharge,60ft,"You make a Light attack against the target.

Overcharge: You may spend X HP to increase the damage the attack deals by X. X may not exceed your Toughness.",,AP: 1,,1,,,,,,,,
blue_tide,Blue Tide,true_ability,"Domain, Spell",Self,"You create a 15ft radius zone of 1ft of water in a circle around yourself. This zone of water remains stationary at its original position, even after you move.

This zone lasts until the end of the encounter and automatically replenishes itself when Aqua Drill is used inside of it. You may have multiple of these zones active at once.",,AP: 1,,1,,,,,,,,
bolting,Bolting,true_ability,"Lightning, Rapid, Spell",360ft,"You may make a Heavy Attack that deals Wind(Lightning) Damage with a bolt from the sky. On damage, inflict Static X where X equals your Power x 3. As the attack from the sky, any cover is calculated from above the target rather than from your path to the target.",,AP: 2 MP: 1,1,2,,,,,,,,
bone_armor,Bone Armor,true_ability,,30ft,"You target and destroy a corpse within range to give yourselfBone Armor, which gives you a +2 bonus to your guard. Bone Armor lasts until the end of the encounter or until you take 2 or more damage from an attack.",Corpse within range.,AP: 1,,1,,,,,,,,
boomerang,Boomerang,key_ability,,,,,,,,,,"When you make an attack with a throwing weapon, or take the thrown attack basic action, you may retrieve the weapon or draw a similar weapon at no cost.",,,,,
botany_study,Botany Study,key_ability,,,,,,,,,,"You gain the ability to detect if foraged food is poisonous or unsafe to eat, nearly guaranteeing its safety.  If it is a common poison, you can also identify its effect., You gain the ability to properly process some poisonous mushrooms, fruits and herbs, making them edible as a Camp Action.  You can process up to 100u at a time., You gain the ability to harvest Tier 2 Foraging Outcrops., You gain proficiency in Artifice Chainsaws and may use it as a gathering tool.",,,,,
bottle_smash,Bottle Smash,true_ability,"Daze, Prone",5ft,"You may make a Light Attack against the target. On damage, the target becomes Dazed. After this attack, your improvised weapon breaks.",Improvised weapon only.,AP: 1,,1,,,,,,,,
bottle_toss,Bottle Toss,true_ability,Daze,20ft,"You may make a Light Attack against the target. On damage, the target becomes Dazed. After this attack, your improvised weapon breaks.",Improvised weapon only.,AP: 1 MP: 1,1,1,,,,,,,,
boundless_wind_stance,Boundless Wind Stance,true_ability,Stance,Self,"You enter the Wind Stance, an unarmed style focusing around aerial combat. While in this stance, you may Hover and Fly up to your speed. If you already have a natural Flying speed or the Flight racial ability, your flying speed is increased  by 10ft.

This stance lasts until you enter a different stance or make an attack with anything other than a melee attack or an ability with the Unarmed Strike keyword.",,AP: 0 MP: 1,1,0,,,,,,,,
brace,Brace,key_ability,,,,,,,,,,"When using the Prepare action to prepare a melee attack with a polearm, if your target of that prepared attack moved more than 20ft that turn (excluding teleports), your attack gains Full Pierce and does maximum damage. Against a mounted enemy this also gains Sure Hit and on damage, their movement becomes 0 until the start of your turn.",,,,,
break_away,Break Away,true_ability,,Self,You disengage and may move up to half your speed away from the nearest enemy.,Must be mounted.,AP: 1 MP: 2,2,1,,,,,,,,
break_free,Break Free,true_ability,Rage,Self,"You may use this ability when you would be affected by a Stun, Root, Fear or a similar effect that would prevent you from acting. You may immediately enter Rage Stance without spending any AP or RP. You gain immunity to this effect for the duration of the Rage.",Not in Rage Stance.,RP: 0,,,0,,,,,,,
brilliance,Brilliance,true_ability,"Spell, Illumination, Light",80ft,"You make a Light attack against the target dealing Holy(Light) damage. On damage, inflict Illumination X, where X equals your Focus / 2 (rounded down) until the end of your next turn.",,AP: 1 MP: 1,1,1,,,,,,,,
bring_out_your_dead,Bring out your dead,true_ability,Encounter Start,10ft,"You summon 3 zombies, as if you used Raise Undead 3 times. Restrictions on max zombie limit still apply.

Does not require corpses.",,,,,,,,,,,,
bullet_magnet,Bullet Magnet,true_ability,,20ft,"Until the start of your next turn, any single target Ranged Weapon Attack made against an ally in range is made against you instead.",Must be using a greatshield.,AP: 1,,1,,,,,,,,
